Vardas              Pavarde             Galutinis vid. / Galutinis med.
Var1025             Pav1025             4.52             5.00
Var10251            Pav10251            2.87             3.00
Var10253            Pav10253            3.11             3.40
Var10255            Pav10255            2.87             2.60
Var10257            Pav10257            3.89             4.00
Var10259            Pav10259            4.09             3.80
Var10260            Pav10260            4.09             4.20
Var10261            Pav10261            3.61             3.40
Var10264            Pav10264            3.21             3.40
Var10265            Pav10265            4.43             4.40
Var10268            Pav10268            3.43             3.00
Var10269            Pav10269            4.48             4.80
Var1027             Pav1027             4.97             5.00
Var10272            Pav10272            4.75             4.80
Var10274            Pav10274            4.99             5.60
Var10276            Pav10276            3.72             3.80
Var10279            Pav10279            3.51             3.40
Var1028             Pav1028             4.33             4.60
Var10285            Pav10285            4.09             3.80
Var10287            Pav10287            3.79             4.00
Var10290            Pav10290            4.20             4.60
Var10295            Pav10295            2.81             2.60
Var10296            Pav10296            3.93             4.20
Var10297            Pav10297            3.31             3.20
Var1030             Pav1030             4.80             4.80
Var10301            Pav10301            3.64             3.40
Var10302            Pav10302            3.85             3.80
Var10303            Pav10303            3.65             3.60
Var10306            Pav10306            3.72             3.80
Var10308            Pav10308            3.29             3.40
Var1031             Pav1031             2.96             2.80
Var10310            Pav10310            3.28             3.20
Var10311            Pav10311            3.59             3.80
Var10313            Pav10313            3.29             3.80
Var10317            Pav10317            3.48             3.40
Var10318            Pav10318            4.95             5.00
Var1032             Pav1032             4.67             4.80
Var10320            Pav10320            4.93             4.80
Var10321            Pav10321            3.51             3.00
Var10322            Pav10322            3.05             3.40
Var10324            Pav10324            4.27             4.00
Var10325            Pav10325            3.13             3.40
Var10327            Pav10327            3.99             4.20
Var1033             Pav1033             4.97             5.00
Var10331            Pav10331            3.92             4.00
Var10334            Pav10334            4.15             4.20
Var10335            Pav10335            3.73             4.00
Var10340            Pav10340            3.92             4.00
Var10342            Pav10342            4.65             4.20
Var10343            Pav10343            3.91             3.00
Var10352            Pav10352            4.40             4.00
Var10359            Pav10359            3.17             3.60
Var10360            Pav10360            4.51             4.00
Var10363            Pav10363            3.28             3.20
Var10364            Pav10364            3.21             3.40
Var10367            Pav10367            3.85             3.40
Var10373            Pav10373            3.85             3.40
Var10374            Pav10374            4.48             4.40
Var10384            Pav10384            4.43             4.40
Var10390            Pav10390            2.92             3.00
Var10392            Pav10392            3.55             3.60
Var10393            Pav10393            3.76             4.40
Var10395            Pav10395            3.75             3.40
Var10396            Pav10396            4.07             4.20
Var10397            Pav10397            4.17             3.80
Var10399            Pav10399            4.33             4.60
Var104              Pav104              3.48             3.80
Var1040             Pav1040             3.72             3.40
Var10400            Pav10400            3.11             2.60
Var10404            Pav10404            4.72             4.40
Var10407            Pav10407            4.52             4.60
Var1041             Pav1041             3.83             3.80
Var10415            Pav10415            3.41             3.60
Var10418            Pav10418            3.47             4.00
Var10419            Pav10419            4.51             4.40
Var1042             Pav1042             2.07             1.40
Var10420            Pav10420            3.44             3.60
Var10424            Pav10424            4.00             4.00
Var10425            Pav10425            4.01             3.80
Var10426            Pav10426            3.41             3.60
Var10427            Pav10427            4.80             5.20
Var10433            Pav10433            4.55             4.60
Var10436            Pav10436            2.76             2.60
Var10437            Pav10437            2.97             3.00
Var10438            Pav10438            3.57             4.00
Var10439            Pav10439            4.85             4.80
Var1044             Pav1044             2.59             2.40
Var10440            Pav10440            3.71             3.60
Var10441            Pav10441            2.71             2.60
Var10442            Pav10442            4.47             4.60
Var10446            Pav10446            3.91             3.80
Var10447            Pav10447            4.52             4.60
Var1045             Pav1045             3.31             3.20
Var10450            Pav10450            2.79             2.60
Var10451            Pav10451            4.32             4.40
Var10453            Pav10453            2.76             2.60
Var10459            Pav10459            2.87             2.60
Var1046             Pav1046             4.28             4.60
Var10460            Pav10460            3.12             2.80
Var10461            Pav10461            3.99             4.20
Var10464            Pav10464            4.15             4.20
Var10470            Pav10470            3.47             3.60
Var10472            Pav10472            2.59             2.40
Var10475            Pav10475            3.28             3.60
Var10476            Pav10476            3.31             2.80
Var10477            Pav10477            3.57             3.60
Var10478            Pav10478            2.65             2.60
Var1048             Pav1048             4.40             4.40
Var10480            Pav10480            4.64             4.80
Var10481            Pav10481            3.63             3.20
Var10482            Pav10482            4.64             4.80
Var10485            Pav10485            3.93             3.80
Var10487            Pav10487            4.08             4.00
Var10490            Pav10490            4.83             4.40
Var10495            Pav10495            4.77             4.40
Var10496            Pav10496            4.24             4.40
Var105              Pav105              3.53             3.40
Var10500            Pav10500            4.59             4.80
Var10501            Pav10501            3.76             3.60
Var10503            Pav10503            4.20             4.20
Var10505            Pav10505            2.76             2.60
Var10506            Pav10506            3.75             3.80
Var10510            Pav10510            3.85             3.40
Var10512            Pav10512            3.57             3.60
Var10515            Pav10515            2.95             3.00
Var10516            Pav10516            3.88             3.80
Var10517            Pav10517            3.01             3.20
Var1052             Pav1052             3.65             3.60
Var10523            Pav10523            4.55             5.00
Var10524            Pav10524            2.23             1.80
Var10526            Pav10526            2.09             1.80
Var10527            Pav10527            3.80             4.20
Var10528            Pav10528            3.39             3.60
Var10529            Pav10529            3.83             3.80
Var10530            Pav10530            2.77             2.80
Var10532            Pav10532            3.15             3.20
Var10536            Pav10536            2.95             3.00
Var10539            Pav10539            4.91             5.20
Var1054             Pav1054             4.80             4.40
Var10542            Pav10542            4.76             5.00
Var10543            Pav10543            2.89             3.00
Var10544            Pav10544            4.75             5.20
Var10545            Pav10545            4.19             4.00
Var10547            Pav10547            4.53             4.80
Var10549            Pav10549            3.35             3.40
Var10552            Pav10552            3.52             3.60
Var10553            Pav10553            4.19             4.00
Var10556            Pav10556            4.81             4.60
Var10557            Pav10557            3.49             3.60
Var10559            Pav10559            4.67             4.80
Var10561            Pav10561            4.47             4.60
Var10562            Pav10562            3.56             3.40
Var10563            Pav10563            3.52             3.20
Var10564            Pav10564            3.31             3.20
Var10566            Pav10566            3.00             3.00
Var10573            Pav10573            3.88             3.80
Var10575            Pav10575            4.48             4.40
Var10577            Pav10577            3.21             3.40
Var10578            Pav10578            4.45             4.40
Var10580            Pav10580            4.80             4.80
Var10582            Pav10582            4.51             4.40
Var10586            Pav10586            3.95             4.40
Var10589            Pav10589            3.32             2.60
Var1059             Pav1059             3.83             3.40
Var10593            Pav10593            3.44             3.60
Var10595            Pav10595            2.23             2.20
Var10599            Pav10599            3.85             3.40
Var106              Pav106              2.60             2.20
Var1060             Pav1060             3.83             3.80
Var10600            Pav10600            4.87             5.00
Var10601            Pav10601            4.20             4.60
Var10602            Pav10602            4.93             5.20
Var10603            Pav10603            4.31             5.00
Var10604            Pav10604            3.83             4.20
Var10605            Pav10605            3.07             2.80
Var10607            Pav10607            3.60             3.20
Var10610            Pav10610            4.56             5.20
Var10612            Pav10612            2.95             3.00
Var10614            Pav10614            3.73             3.60
Var10616            Pav10616            4.57             5.00
Var10624            Pav10624            2.44             1.80
Var10626            Pav10626            3.05             3.40
Var10629            Pav10629            3.85             4.20
Var10630            Pav10630            2.89             3.00
Var10631            Pav10631            3.44             3.20
Var10633            Pav10633            3.56             3.80
Var10634            Pav10634            4.32             4.40
Var10636            Pav10636            3.96             4.20
Var10637            Pav10637            3.96             3.80
Var10638            Pav10638            2.95             3.80
Var1064             Pav1064             3.57             4.00
Var10640            Pav10640            4.03             4.40
Var10647            Pav10647            3.20             3.20
Var10649            Pav10649            2.68             3.00
Var10650            Pav10650            3.08             3.40
Var10651            Pav10651            3.13             3.40
Var10652            Pav10652            4.67             4.80
Var10653            Pav10653            2.92             3.40
Var10654            Pav10654            3.03             3.80
Var10657            Pav10657            2.81             2.60
Var10658            Pav10658            4.48             4.40
Var10659            Pav10659            4.45             4.40
Var1066             Pav1066             4.35             4.40
Var10663            Pav10663            3.21             3.40
Var10666            Pav10666            4.01             3.80
Var10667            Pav10667            4.83             4.80
Var10668            Pav10668            4.28             4.20
Var1067             Pav1067             2.75             2.80
Var10671            Pav10671            3.33             4.00
Var10672            Pav10672            2.73             3.00
Var10675            Pav10675            3.11             3.40
Var10678            Pav10678            3.49             3.60
Var1068             Pav1068             4.53             4.00
Var10681            Pav10681            3.03             3.00
Var10682            Pav10682            3.39             4.00
Var10683            Pav10683            4.27             4.00
Var10686            Pav10686            3.49             3.20
Var10689            Pav10689            2.71             2.60
Var1069             Pav1069             3.55             3.20
Var10690            Pav10690            2.49             2.20
Var10691            Pav10691            4.64             4.80
Var10692            Pav10692            3.36             3.20
Var10693            Pav10693            3.88             3.80
Var10694            Pav10694            4.09             3.80
Var10696            Pav10696            3.80             3.00
Var10698            Pav10698            4.05             4.00
Var10699            Pav10699            2.99             2.40
Var107              Pav107              3.79             4.00
Var10701            Pav10701            4.12             3.80
Var10707            Pav10707            4.29             4.40
Var10709            Pav10709            3.28             3.60
Var10713            Pav10713            4.27             4.80
Var10715            Pav10715            4.41             4.60
Var10717            Pav10717            2.65             2.20
Var10719            Pav10719            3.60             3.60
Var10720            Pav10720            2.49             1.80
Var10729            Pav10729            4.04             3.80
Var10731            Pav10731            4.12             4.20
Var10733            Pav10733            3.91             3.80
Var10737            Pav10737            3.72             3.40
Var10738            Pav10738            4.61             4.80
Var10741            Pav10741            2.76             3.00
Var10746            Pav10746            3.88             4.20
Var10747            Pav10747            3.25             3.20
Var10748            Pav10748            4.64             4.80
Var10749            Pav10749            3.96             3.80
Var10751            Pav10751            2.44             2.20
Var10754            Pav10754            3.73             3.60
Var10755            Pav10755            4.37             4.40
Var10756            Pav10756            4.95             4.60
Var10760            Pav10760            4.39             5.00
Var10763            Pav10763            3.84             4.40
Var10764            Pav10764            4.61             4.40
Var10766            Pav10766            4.84             4.20
Var10767            Pav10767            3.93             3.80
Var10768            Pav10768            4.07             3.80
Var10769            Pav10769            3.12             3.20
Var10770            Pav10770            4.28             4.20
Var10772            Pav10772            4.73             4.60
Var10774            Pav10774            4.28             4.20
Var10776            Pav10776            3.75             3.80
Var10779            Pav10779            4.59             4.40
Var10783            Pav10783            4.56             4.40
Var10786            Pav10786            3.57             3.60
Var10791            Pav10791            3.96             4.20
Var10793            Pav10793            4.11             4.40
Var10799            Pav10799            4.21             4.00
Var1080             Pav1080             2.57             2.60
Var10801            Pav10801            2.63             2.60
Var10803            Pav10803            3.11             3.40
Var10804            Pav10804            4.20             4.20
Var10807            Pav10807            4.56             4.40
Var10808            Pav10808            4.23             4.20
Var10809            Pav10809            4.16             4.00
Var10810            Pav10810            4.44             5.00
Var10811            Pav10811            4.01             3.80
Var10815            Pav10815            2.79             3.00
Var10816            Pav10816            2.83             2.80
Var1082             Pav1082             4.28             4.20
Var10823            Pav10823            3.33             3.20
Var10824            Pav10824            3.24             3.40
Var10826            Pav10826            4.23             4.60
Var10828            Pav10828            2.87             2.60
Var1083             Pav1083             4.83             5.20
Var10830            Pav10830            4.17             4.20
Var10831            Pav10831            4.79             4.60
Var10832            Pav10832            3.51             3.80
Var10833            Pav10833            3.33             3.60
Var10835            Pav10835            4.04             4.20
Var10841            Pav10841            3.00             3.40
Var10842            Pav10842            3.16             3.00
Var10845            Pav10845            3.27             3.00
Var10848            Pav10848            3.93             3.80
Var1085             Pav1085             2.60             2.60
Var10850            Pav10850            3.04             3.20
Var10851            Pav10851            2.36             2.20
Var10852            Pav10852            3.63             4.00
Var10855            Pav10855            3.61             3.40
Var10859            Pav10859            2.71             2.60
Var1086             Pav1086             4.37             4.00
Var10862            Pav10862            3.47             4.00
Var10865            Pav10865            2.63             1.80
Var10867            Pav10867            4.41             4.60
Var10868            Pav10868            2.92             3.00
Var1087             Pav1087             3.03             3.40
Var10870            Pav10870            2.81             3.00
Var10872            Pav10872            3.92             4.00
Var10873            Pav10873            4.25             4.60
Var10876            Pav10876            4.59             4.80
Var10877            Pav10877            2.65             2.60
Var10881            Pav10881            4.17             4.60
Var10882            Pav10882            2.44             2.20
Var10883            Pav10883            3.03             3.40
Var10885            Pav10885            3.83             4.20
Var10886            Pav10886            2.79             2.60
Var10894            Pav10894            3.52             4.00
Var10895            Pav10895            3.69             3.00
Var10897            Pav10897            4.05             3.60
Var10898            Pav10898            4.27             4.00
Var10899            Pav10899            3.31             3.20
Var10902            Pav10902            3.55             3.60
Var10904            Pav10904            3.00             3.00
Var10905            Pav10905            3.08             3.00
Var10907            Pav10907            3.81             4.00
Var10908            Pav10908            2.33             1.80
Var10909            Pav10909            4.49             4.60
Var1091             Pav1091             3.41             3.60
Var10912            Pav10912            4.21             4.00
Var10913            Pav10913            2.31             2.20
Var10915            Pav10915            4.45             4.00
Var10918            Pav10918            4.51             4.00
Var10919            Pav10919            4.48             4.40
Var10922            Pav10922            3.17             3.20
Var10925            Pav10925            2.76             2.60
Var10926            Pav10926            3.20             3.20
Var10929            Pav10929            4.47             4.20
Var1093             Pav1093             3.13             3.00
Var10930            Pav10930            3.65             3.60
Var10931            Pav10931            4.09             4.20
Var10933            Pav10933            3.11             3.80
Var10936            Pav10936            4.37             4.40
Var10937            Pav10937            3.57             4.00
Var10940            Pav10940            3.05             3.00
Var10942            Pav10942            4.64             4.80
Var10943            Pav10943            2.47             2.20
Var10945            Pav10945            4.93             5.20
Var10947            Pav10947            4.93             4.80
Var10948            Pav10948            4.63             5.00
Var10949            Pav10949            2.25             1.80
Var10953            Pav10953            2.79             3.00
Var10955            Pav10955            2.87             2.60
Var10958            Pav10958            4.08             4.00
Var10962            Pav10962            3.91             3.80
Var10964            Pav10964            4.64             4.40
Var1097             Pav1097             3.12             2.40
Var10981            Pav10981            2.89             3.40
Var10982            Pav10982            4.77             5.20
Var10985            Pav10985            2.92             3.40
Var10986            Pav10986            4.92             4.60
Var10988            Pav10988            3.88             4.20
Var10989            Pav10989            4.51             4.40
Var10991            Pav10991            4.61             4.40
Var10994            Pav10994            2.76             3.40
Var110              Pav110              4.92             5.00
Var11003            Pav11003            2.79             3.00
Var11004            Pav11004            4.76             4.60
Var11007            Pav11007            4.29             4.80
Var11010            Pav11010            3.76             4.00
Var11011            Pav11011            3.09             3.20
Var11013            Pav11013            4.56             4.80
Var11016            Pav11016            3.64             3.80
Var11018            Pav11018            2.71             2.60
Var1102             Pav1102             2.55             2.60
Var11022            Pav11022            2.71             2.20
Var11024            Pav11024            4.89             4.60
Var11031            Pav11031            3.47             3.60
Var11033            Pav11033            3.47             3.60
Var11039            Pav11039            4.99             4.80
Var1104             Pav1104             3.31             3.60
Var11041            Pav11041            4.72             4.40
Var11047            Pav11047            4.12             4.60
Var11048            Pav11048            2.95             3.40
Var11049            Pav11049            4.85             4.80
Var1105             Pav1105             3.85             3.80
Var11051            Pav11051            4.56             4.80
Var11054            Pav11054            4.63             4.60
Var11059            Pav11059            2.93             2.00
Var11061            Pav11061            4.92             4.60
Var11062            Pav11062            4.20             3.80
Var11063            Pav11063            4.27             4.00
Var11064            Pav11064            4.91             4.40
Var11069            Pav11069            4.04             3.80
Var1107             Pav1107             2.47             2.20
Var11072            Pav11072            4.45             4.40
Var11074            Pav11074            3.53             3.00
Var11075            Pav11075            3.99             4.20
Var11076            Pav11076            4.61             4.40
Var11077            Pav11077            3.03             3.00
Var11082            Pav11082            4.25             4.20
Var11084            Pav11084            4.83             5.20
Var11085            Pav11085            4.97             4.60
Var11094            Pav11094            2.44             2.60
Var11097            Pav11097            3.67             3.00
Var11099            Pav11099            3.37             3.40
Var11103            Pav11103            3.28             3.20
Var11104            Pav11104            4.27             4.00
Var11105            Pav11105            3.81             3.60
Var11106            Pav11106            4.89             5.00
Var11108            Pav11108            2.83             2.40
Var1111             Pav1111             3.25             3.20
Var11115            Pav11115            4.19             4.40
Var11116            Pav11116            3.57             3.60
Var11120            Pav11120            3.44             3.20
Var11121            Pav11121            3.00             3.00
Var11125            Pav11125            2.95             3.00
Var11126            Pav11126            3.20             3.60
Var11127            Pav11127            4.11             4.00
Var11128            Pav11128            3.07             2.80
Var11130            Pav11130            3.52             3.60
Var11134            Pav11134            4.64             4.80
Var11135            Pav11135            2.99             2.80
Var11138            Pav11138            3.84             4.00
Var1114             Pav1114             2.28             2.20
Var11145            Pav11145            2.65             2.20
Var11147            Pav11147            3.63             4.00
Var11149            Pav11149            3.92             4.00
Var11150            Pav11150            2.81             3.00
Var11152            Pav11152            2.81             3.00
Var11157            Pav11157            3.20             3.20
Var1116             Pav1116             2.60             2.60
Var11160            Pav11160            2.81             3.80
Var11161            Pav11161            4.17             4.20
Var11162            Pav11162            4.64             4.40
Var11164            Pav11164            3.76             3.60
Var11166            Pav11166            4.12             3.80
Var11167            Pav11167            3.32             3.40
Var11169            Pav11169            3.97             4.00
Var1117             Pav1117             3.55             3.20
Var11170            Pav11170            3.61             3.40
Var11171            Pav11171            3.13             3.00
Var11176            Pav11176            4.03             4.00
Var1118             Pav1118             3.93             3.80
Var11185            Pav11185            2.68             2.60
Var11186            Pav11186            4.37             3.60
Var11187            Pav11187            2.99             2.80
Var1119             Pav1119             4.51             4.40
Var11193            Pav11193            2.60             2.60
Var11196            Pav11196            2.89             3.00
Var11198            Pav11198            4.00             3.60
Var112              Pav112              4.09             4.60
Var11202            Pav11202            3.28             3.20
Var11203            Pav11203            3.43             3.00
Var11204            Pav11204            2.55             2.60
Var11205            Pav11205            3.79             4.00
Var1121             Pav1121             3.80             3.80
Var11214            Pav11214            3.89             4.00
Var11216            Pav11216            2.92             2.60
Var11218            Pav11218            4.87             5.00
Var11221            Pav11221            2.28             1.80
Var11227            Pav11227            3.31             3.20
Var11229            Pav11229            3.83             3.80
Var1123             Pav1123             3.11             3.00
Var11230            Pav11230            3.85             3.80
Var11233            Pav11233            4.96             5.20
Var11234            Pav11234            3.92             4.00
Var11235            Pav11235            3.76             3.60
Var11236            Pav11236            4.67             4.80
Var11240            Pav11240            3.49             3.60
Var11243            Pav11243            4.40             4.40
Var11244            Pav11244            3.47             3.60
Var11245            Pav11245            3.76             4.00
Var11247            Pav11247            4.20             4.20
Var11250            Pav11250            4.67             4.80
Var11253            Pav11253            4.43             4.40
Var11256            Pav11256            3.76             3.60
Var11257            Pav11257            2.47             2.20
Var11258            Pav11258            2.95             2.60
Var11259            Pav11259            3.52             3.60
Var11260            Pav11260            3.91             3.80
Var11262            Pav11262            2.99             2.80
Var11263            Pav11263            3.28             3.20
Var11264            Pav11264            3.15             2.80
Var11267            Pav11267            4.72             4.80
Var11268            Pav11268            4.89             4.60
Var11270            Pav11270            2.73             2.60
Var11272            Pav11272            2.89             3.00
Var11273            Pav11273            4.60             4.20
Var11274            Pav11274            2.81             3.00
Var11276            Pav11276            2.52             2.60
Var11280            Pav11280            2.63             2.60
Var11286            Pav11286            2.89             3.00
Var1129             Pav1129             4.00             4.40
Var11290            Pav11290            3.23             2.80
Var11292            Pav11292            3.52             3.60
Var11293            Pav11293            2.85             2.80
Var11295            Pav11295            3.27             3.40
Var11297            Pav11297            4.37             4.40
Var11298            Pav11298            3.93             3.80
Var11302            Pav11302            3.25             3.20
Var11303            Pav11303            2.44             2.20
Var11309            Pav11309            4.37             4.00
Var11311            Pav11311            3.45             3.40
Var11313            Pav11313            4.91             4.80
Var11314            Pav11314            4.93             4.80
Var11319            Pav11319            2.81             3.00
Var1132             Pav1132             3.17             2.40
Var11324            Pav11324            3.88             3.80
Var11325            Pav11325            4.76             4.60
Var11328            Pav11328            4.51             4.40
Var1133             Pav1133             3.56             3.40
Var11331            Pav11331            2.92             3.00
Var11337            Pav11337            3.39             3.60
Var11340            Pav11340            4.49             3.80
Var11346            Pav11346            2.71             2.60
Var11351            Pav11351            3.60             4.00
Var11352            Pav11352            3.61             3.40
Var11354            Pav11354            2.91             2.40
Var11355            Pav11355            3.99             4.20
Var11357            Pav11357            4.27             4.40
Var11359            Pav11359            4.31             4.20
Var11362            Pav11362            4.77             4.40
Var11363            Pav11363            4.72             4.80
Var11364            Pav11364            4.59             4.40
Var11367            Pav11367            4.56             5.20
Var11369            Pav11369            3.36             4.00
Var11370            Pav11370            3.05             3.40
Var11372            Pav11372            3.36             3.60
Var11374            Pav11374            2.79             3.00
Var11377            Pav11377            2.41             2.20
Var11379            Pav11379            3.60             4.00
Var1138             Pav1138             4.09             4.20
Var11380            Pav11380            3.56             3.80
Var11381            Pav11381            3.25             3.20
Var11382            Pav11382            2.15             2.20
Var11383            Pav11383            2.71             2.60
Var11385            Pav11385            4.29             4.40
Var11386            Pav11386            4.87             4.20
Var1139             Pav1139             4.28             4.60
Var11390            Pav11390            3.93             3.00
Var11391            Pav11391            2.81             3.00
Var11397            Pav11397            2.71             2.60
Var11399            Pav11399            4.04             4.20
Var11404            Pav11404            2.84             3.00
Var11407            Pav11407            4.61             4.80
Var11409            Pav11409            3.83             3.80
Var11410            Pav11410            3.00             3.00
Var11414            Pav11414            3.03             3.00
Var11415            Pav11415            3.88             3.80
Var11417            Pav11417            3.92             4.00
Var11420            Pav11420            3.91             4.20
Var11423            Pav11423            3.01             2.80
Var11424            Pav11424            3.83             3.80
Var11426            Pav11426            3.08             3.00
Var11427            Pav11427            3.57             3.20
Var11431            Pav11431            4.69             4.40
Var11434            Pav11434            2.95             2.60
Var11439            Pav11439            4.01             4.60
Var11443            Pav11443            4.05             4.00
Var11444            Pav11444            3.55             4.00
Var11449            Pav11449            4.04             4.20
Var11465            Pav11465            2.39             2.60
Var11466            Pav11466            2.79             2.60
Var11467            Pav11467            4.56             4.40
Var11468            Pav11468            3.00             3.00
Var11478            Pav11478            2.52             2.20
Var1148             Pav1148             3.84             4.40
Var11480            Pav11480            3.99             4.20
Var11482            Pav11482            3.71             4.00
Var11483            Pav11483            2.65             2.60
Var11485            Pav11485            2.95             3.00
Var11488            Pav11488            2.68             3.00
Var11489            Pav11489            3.45             3.40
Var1149             Pav1149             4.97             4.60
Var11490            Pav11490            4.45             4.40
Var11491            Pav11491            3.31             3.60
Var11493            Pav11493            2.65             2.20
Var11495            Pav11495            4.77             4.80
Var11497            Pav11497            3.69             3.40
Var11498            Pav11498            3.25             3.60
Var11499            Pav11499            4.77             5.20
Var11502            Pav11502            2.95             2.60
Var11503            Pav11503            4.49             4.20
Var11505            Pav11505            3.07             3.20
Var11509            Pav11509            4.95             5.00
Var11510            Pav11510            3.85             4.20
Var11519            Pav11519            4.23             4.60
Var11522            Pav11522            4.79             5.00
Var11523            Pav11523            3.99             4.20
Var11528            Pav11528            4.20             4.20
Var11529            Pav11529            4.21             4.00
Var1153             Pav1153             4.05             4.40
Var11532            Pav11532            3.47             3.60
Var11536            Pav11536            4.29             4.00
Var11537            Pav11537            3.49             3.20
Var11540            Pav11540            3.64             3.40
Var11542            Pav11542            3.25             2.80
Var11545            Pav11545            2.12             2.20
Var11547            Pav11547            2.99             2.00
Var1155             Pav1155             3.15             3.20
Var11553            Pav11553            3.65             4.00
Var11567            Pav11567            4.88             5.20
Var1157             Pav1157             2.68             3.00
Var11570            Pav11570            4.72             4.80
Var11571            Pav11571            3.96             3.80
Var11574            Pav11574            2.89             3.00
Var11576            Pav11576            4.49             4.60
Var11579            Pav11579            4.57             4.20
Var11580            Pav11580            3.01             3.20
Var11582            Pav11582            3.53             3.40
Var11583            Pav11583            4.59             4.40
Var11584            Pav11584            4.75             4.80
Var11585            Pav11585            4.91             4.80
Var11588            Pav11588            4.15             3.80
