Vardas              Pavarde             Galutinis vid. / Galutinis med.
Var10190            Pav10190            5.08             5.00
Var10193            Pav10193            5.52             5.60
Var10194            Pav10194            5.40             5.40
Var10195            Pav10195            5.59             5.80
Var10197            Pav10197            7.67             7.40
Var10198            Pav10198            6.85             6.80
Var10199            Pav10199            7.32             7.40
Var1020             Pav1020             6.16             6.40
Var10200            Pav10200            6.11             6.00
Var10201            Pav10201            7.07             6.80
Var10202            Pav10202            5.68             5.20
Var10203            Pav10203            8.21             8.00
Var10204            Pav10204            5.19             5.00
Var10205            Pav10205            7.36             7.60
Var10207            Pav10207            7.35             7.00
Var10208            Pav10208            6.80             6.80
Var10209            Pav10209            5.24             5.40
Var1021             Pav1021             7.11             6.60
Var10210            Pav10210            7.19             7.00
Var10211            Pav10211            6.75             6.00
Var10212            Pav10212            7.31             7.20
Var10213            Pav10213            7.79             8.00
Var10214            Pav10214            7.16             7.00
Var10215            Pav10215            6.96             6.80
Var10217            Pav10217            6.25             6.20
Var10221            Pav10221            5.92             6.00
Var10225            Pav10225            6.87             7.00
Var10227            Pav10227            7.37             7.40
Var10228            Pav10228            6.71             7.00
Var10229            Pav10229            6.39             6.60
Var1023             Pav1023             5.89             6.00
Var10232            Pav10232            5.76             5.60
Var10233            Pav10233            7.13             7.00
Var10234            Pav10234            7.25             7.60
Var10238            Pav10238            7.15             7.20
Var10239            Pav10239            8.27             8.40
Var10241            Pav10241            5.51             5.40
Var10242            Pav10242            6.91             6.80
Var10243            Pav10243            7.75             7.80
Var10244            Pav10244            6.45             7.20
Var10246            Pav10246            7.27             7.00
Var10249            Pav10249            6.60             7.00
Var10250            Pav10250            7.67             7.80
Var10252            Pav10252            7.83             7.80
Var10254            Pav10254            7.84             7.60
Var10256            Pav10256            7.39             8.00
Var10258            Pav10258            6.41             6.20
Var1026             Pav1026             5.47             6.00
Var10262            Pav10262            6.69             6.40
Var10263            Pav10263            5.73             5.20
Var10266            Pav10266            7.59             7.00
Var10267            Pav10267            8.19             8.40
Var10270            Pav10270            6.89             6.60
Var10271            Pav10271            6.85             6.40
Var10273            Pav10273            7.04             6.80
Var10275            Pav10275            6.60             7.00
Var10277            Pav10277            8.35             8.40
Var10278            Pav10278            6.53             6.40
Var10280            Pav10280            6.49             6.20
Var10281            Pav10281            6.39             6.20
Var10282            Pav10282            8.21             8.80
Var10283            Pav10283            6.49             6.20
Var10284            Pav10284            8.35             8.80
Var10286            Pav10286            7.13             6.60
Var10288            Pav10288            7.36             7.60
Var10289            Pav10289            6.09             6.20
Var1029             Pav1029             6.76             7.00
Var10291            Pav10291            7.21             7.00
Var10292            Pav10292            6.17             6.20
Var10293            Pav10293            6.05             6.40
Var10294            Pav10294            6.79             6.60
Var10298            Pav10298            6.71             6.60
Var10299            Pav10299            7.39             8.00
Var103              Pav103              5.56             5.80
Var10300            Pav10300            7.20             7.60
Var10304            Pav10304            5.08             5.80
Var10305            Pav10305            6.33             6.20
Var10307            Pav10307            5.95             5.60
Var10309            Pav10309            8.40             8.80
Var10312            Pav10312            7.33             7.60
Var10314            Pav10314            5.68             5.60
Var10315            Pav10315            5.87             6.00
Var10316            Pav10316            6.49             6.60
Var10319            Pav10319            5.75             5.80
Var10323            Pav10323            8.27             8.00
Var10326            Pav10326            5.08             5.00
Var10328            Pav10328            5.57             5.20
Var10329            Pav10329            5.51             5.80
Var10330            Pav10330            7.85             7.80
Var10332            Pav10332            5.47             5.20
Var10333            Pav10333            8.08             8.40
Var10336            Pav10336            7.83             8.20
Var10337            Pav10337            6.23             6.20
Var10338            Pav10338            7.65             7.20
Var10339            Pav10339            7.45             7.40
Var1034             Pav1034             6.20             6.20
Var10341            Pav10341            6.55             6.60
Var10344            Pav10344            7.37             7.00
Var10345            Pav10345            5.45             5.80
Var10346            Pav10346            7.77             8.60
Var10347            Pav10347            7.19             7.80
Var10348            Pav10348            5.40             5.00
Var10349            Pav10349            7.92             8.00
Var1035             Pav1035             8.61             8.80
Var10350            Pav10350            5.00             4.60
Var10351            Pav10351            6.23             6.20
Var10353            Pav10353            5.19             5.40
Var10354            Pav10354            8.27             8.40
Var10355            Pav10355            6.03             5.60
Var10356            Pav10356            6.91             6.80
Var10357            Pav10357            8.32             8.00
Var10358            Pav10358            6.76             6.20
Var1036             Pav1036             6.77             6.40
Var10361            Pav10361            6.05             6.00
Var10362            Pav10362            6.53             6.40
Var10365            Pav10365            5.43             5.80
Var10366            Pav10366            5.20             5.20
Var10368            Pav10368            6.77             6.80
Var10369            Pav10369            7.07             7.20
Var1037             Pav1037             5.45             5.40
Var10370            Pav10370            5.28             5.20
Var10371            Pav10371            5.73             5.60
Var10372            Pav10372            5.05             5.00
Var10375            Pav10375            6.49             6.60
Var10376            Pav10376            6.85             6.80
Var10377            Pav10377            6.72             6.40
Var10378            Pav10378            5.47             5.60
Var10379            Pav10379            5.24             5.00
Var1038             Pav1038             5.73             5.60
Var10380            Pav10380            5.35             5.40
Var10381            Pav10381            6.33             6.20
Var10382            Pav10382            5.60             4.80
Var10383            Pav10383            7.33             7.20
Var10385            Pav10385            8.13             8.40
Var10386            Pav10386            8.27             8.40
Var10387            Pav10387            5.41             5.20
Var10388            Pav10388            8.03             8.00
Var10389            Pav10389            7.17             7.20
Var1039             Pav1039             5.72             5.80
Var10391            Pav10391            5.11             5.00
Var10394            Pav10394            7.48             7.40
Var10398            Pav10398            8.32             8.40
Var10401            Pav10401            5.45             5.40
Var10402            Pav10402            6.88             6.80
Var10403            Pav10403            6.39             6.20
Var10405            Pav10405            7.59             7.40
Var10406            Pav10406            6.33             6.20
Var10408            Pav10408            7.51             7.00
Var10409            Pav10409            6.47             6.20
Var10410            Pav10410            6.08             6.40
Var10411            Pav10411            6.32             6.40
Var10412            Pav10412            5.76             6.00
Var10413            Pav10413            7.59             7.80
Var10414            Pav10414            7.80             7.80
Var10416            Pav10416            7.31             7.20
Var10417            Pav10417            7.67             7.80
Var10421            Pav10421            5.44             5.20
Var10422            Pav10422            8.29             8.00
Var10423            Pav10423            5.03             5.00
Var10428            Pav10428            7.28             7.60
Var10429            Pav10429            6.43             6.80
Var1043             Pav1043             6.64             6.80
Var10430            Pav10430            7.37             7.00
Var10431            Pav10431            7.32             7.40
Var10432            Pav10432            6.01             5.80
Var10434            Pav10434            8.67             8.80
Var10435            Pav10435            6.13             6.40
Var10443            Pav10443            6.96             7.20
Var10444            Pav10444            5.21             5.80
Var10445            Pav10445            6.40             6.40
Var10448            Pav10448            6.95             6.60
Var10449            Pav10449            6.00             6.00
Var10452            Pav10452            5.92             5.60
Var10454            Pav10454            8.11             7.60
Var10455            Pav10455            6.83             6.80
Var10456            Pav10456            7.75             7.80
Var10457            Pav10457            6.03             6.00
Var10458            Pav10458            5.99             6.20
Var10462            Pav10462            5.53             5.40
Var10463            Pav10463            5.95             6.00
Var10465            Pav10465            5.92             6.00
Var10466            Pav10466            5.16             5.00
Var10467            Pav10467            7.64             7.40
Var10468            Pav10468            7.24             7.00
Var10469            Pav10469            7.28             7.60
Var1047             Pav1047             8.27             8.00
Var10471            Pav10471            6.07             5.80
Var10473            Pav10473            6.28             6.20
Var10474            Pav10474            5.79             6.00
Var10479            Pav10479            6.23             6.20
Var10483            Pav10483            6.99             6.80
Var10484            Pav10484            7.68             8.00
Var10486            Pav10486            6.52             6.60
Var10488            Pav10488            6.96             7.20
Var10489            Pav10489            8.21             8.00
Var1049             Pav1049             5.39             5.20
Var10491            Pav10491            5.37             5.40
Var10492            Pav10492            5.63             5.60
Var10493            Pav10493            6.01             6.20
Var10494            Pav10494            8.19             8.40
Var10497            Pav10497            6.69             6.40
Var10498            Pav10498            8.24             8.40
Var10499            Pav10499            7.15             6.80
Var1050             Pav1050             5.99             5.40
Var10502            Pav10502            5.24             5.40
Var10504            Pav10504            6.93             6.80
Var10507            Pav10507            6.99             6.40
Var10508            Pav10508            6.91             6.80
Var10509            Pav10509            5.99             5.80
Var1051             Pav1051             5.27             5.00
Var10511            Pav10511            6.75             6.40
Var10513            Pav10513            6.33             6.60
Var10514            Pav10514            8.27             8.00
Var10518            Pav10518            5.69             5.40
Var10519            Pav10519            7.27             7.00
Var10520            Pav10520            5.01             4.80
Var10521            Pav10521            5.60             5.20
Var10522            Pav10522            6.07             5.40
Var10525            Pav10525            6.60             6.60
Var1053             Pav1053             7.40             7.00
Var10531            Pav10531            8.27             8.40
Var10533            Pav10533            5.05             5.00
Var10534            Pav10534            7.35             7.00
Var10535            Pav10535            6.51             6.40
Var10537            Pav10537            6.99             6.80
Var10538            Pav10538            8.64             8.40
Var10540            Pav10540            8.19             8.40
Var10541            Pav10541            6.12             6.60
Var10546            Pav10546            6.84             7.40
Var10548            Pav10548            7.17             7.60
Var1055             Pav1055             5.47             5.20
Var10550            Pav10550            5.03             5.00
Var10551            Pav10551            7.04             6.80
Var10554            Pav10554            6.11             6.80
Var10555            Pav10555            5.00             5.00
Var10558            Pav10558            8.53             9.20
Var1056             Pav1056             8.32             8.40
Var10560            Pav10560            6.13             6.00
Var10565            Pav10565            5.83             6.20
Var10567            Pav10567            7.04             7.20
Var10568            Pav10568            7.39             7.20
Var10569            Pav10569            7.27             7.00
Var1057             Pav1057             8.11             8.40
Var10570            Pav10570            5.37             5.00
Var10571            Pav10571            6.63             6.60
Var10572            Pav10572            8.00             8.40
Var10574            Pav10574            5.59             6.20
Var10576            Pav10576            5.47             5.60
Var10579            Pav10579            5.63             5.20
Var1058             Pav1058             8.08             8.00
Var10581            Pav10581            8.13             8.00
Var10583            Pav10583            5.35             5.40
Var10584            Pav10584            6.88             6.40
Var10585            Pav10585            5.59             5.40
Var10587            Pav10587            7.67             8.60
Var10588            Pav10588            7.92             8.00
Var10590            Pav10590            8.29             8.00
Var10591            Pav10591            7.63             7.60
Var10592            Pav10592            7.75             8.20
Var10594            Pav10594            8.40             8.40
Var10596            Pav10596            7.51             6.60
Var10597            Pav10597            5.47             5.60
Var10598            Pav10598            6.60             6.60
Var10606            Pav10606            7.40             7.80
Var10608            Pav10608            8.01             8.60
Var10609            Pav10609            6.84             7.00
Var1061             Pav1061             7.63             7.20
Var10611            Pav10611            5.40             5.80
Var10613            Pav10613            7.43             7.00
Var10615            Pav10615            7.27             7.40
Var10617            Pav10617            5.57             5.60
Var10618            Pav10618            6.95             7.40
Var10619            Pav10619            5.37             5.80
Var1062             Pav1062             7.75             7.40
Var10620            Pav10620            5.25             4.80
Var10621            Pav10621            5.76             5.60
Var10622            Pav10622            6.09             5.80
Var10623            Pav10623            6.93             6.80
Var10625            Pav10625            8.01             7.80
Var10627            Pav10627            5.76             5.20
Var10628            Pav10628            5.13             5.00
Var1063             Pav1063             5.97             5.60
Var10632            Pav10632            8.36             9.00
Var10635            Pav10635            6.52             6.20
Var10639            Pav10639            7.67             8.20
Var10641            Pav10641            6.11             6.00
Var10642            Pav10642            7.61             7.40
Var10643            Pav10643            8.43             8.80
Var10644            Pav10644            5.13             5.00
Var10645            Pav10645            5.73             5.60
Var10646            Pav10646            5.65             6.40
Var10648            Pav10648            7.61             7.80
Var1065             Pav1065             5.88             5.40
Var10655            Pav10655            7.77             8.20
Var10656            Pav10656            7.91             8.20
Var10660            Pav10660            6.89             7.00
Var10661            Pav10661            7.76             7.60
Var10662            Pav10662            5.19             5.40
Var10664            Pav10664            7.88             8.20
Var10665            Pav10665            7.75             7.80
Var10669            Pav10669            7.45             7.40
Var10670            Pav10670            8.64             8.80
Var10673            Pav10673            5.33             5.20
Var10674            Pav10674            5.60             5.60
Var10676            Pav10676            5.51             5.80
Var10677            Pav10677            6.65             6.60
Var10679            Pav10679            6.61             6.40
Var10680            Pav10680            6.47             7.00
Var10684            Pav10684            8.45             8.40
Var10685            Pav10685            7.55             8.00
Var10687            Pav10687            8.27             8.00
Var10688            Pav10688            8.75             8.80
Var10695            Pav10695            7.71             8.00
Var10697            Pav10697            7.88             8.20
Var1070             Pav1070             6.44             6.20
Var10700            Pav10700            8.11             8.00
Var10702            Pav10702            6.27             6.40
Var10703            Pav10703            8.29             8.40
Var10704            Pav10704            7.99             7.80
Var10705            Pav10705            7.20             7.20
Var10706            Pav10706            5.33             5.20
Var10708            Pav10708            5.57             5.60
Var1071             Pav1071             5.77             6.20
Var10710            Pav10710            7.80             7.80
Var10711            Pav10711            6.51             6.40
Var10712            Pav10712            7.23             7.60
Var10714            Pav10714            7.17             7.20
Var10716            Pav10716            5.61             5.80
Var10718            Pav10718            6.33             6.20
Var1072             Pav1072             6.60             6.60
Var10721            Pav10721            6.39             6.20
Var10722            Pav10722            6.85             6.80
Var10723            Pav10723            7.73             7.60
Var10724            Pav10724            8.24             8.80
Var10725            Pav10725            6.39             6.20
Var10726            Pav10726            5.39             5.20
Var10727            Pav10727            7.56             7.00
Var10728            Pav10728            7.16             7.40
Var1073             Pav1073             5.47             5.20
Var10730            Pav10730            5.48             6.20
Var10732            Pav10732            5.49             5.60
Var10734            Pav10734            5.16             5.40
Var10735            Pav10735            5.19             5.40
Var10736            Pav10736            8.27             8.00
Var10739            Pav10739            5.56             5.40
Var1074             Pav1074             6.49             7.00
Var10740            Pav10740            6.91             6.80
Var10742            Pav10742            5.09             5.60
Var10743            Pav10743            8.27             8.40
Var10744            Pav10744            5.96             6.20
Var10745            Pav10745            6.13             6.80
Var1075             Pav1075             5.57             5.60
Var10750            Pav10750            5.33             5.20
Var10752            Pav10752            7.65             8.40
Var10753            Pav10753            5.87             5.60
Var10757            Pav10757            5.73             5.60
Var10758            Pav10758            5.48             5.40
Var10759            Pav10759            8.64             8.40
Var1076             Pav1076             6.91             7.20
Var10761            Pav10761            5.35             5.40
Var10762            Pav10762            7.12             7.20
Var10765            Pav10765            5.08             4.60
Var1077             Pav1077             6.99             7.60
Var10771            Pav10771            8.29             8.00
Var10773            Pav10773            6.72             6.40
Var10775            Pav10775            6.93             6.80
Var10777            Pav10777            6.77             6.80
Var10778            Pav10778            6.33             6.60
Var1078             Pav1078             5.23             4.80
Var10780            Pav10780            6.47             6.60
Var10781            Pav10781            5.51             5.40
Var10782            Pav10782            5.92             6.00
Var10784            Pav10784            6.45             6.40
Var10785            Pav10785            6.49             6.60
Var10787            Pav10787            6.31             5.80
Var10788            Pav10788            7.43             7.80
Var10789            Pav10789            6.65             7.40
Var1079             Pav1079             5.45             5.80
Var10790            Pav10790            6.23             6.20
Var10792            Pav10792            5.32             5.80
Var10794            Pav10794            8.00             8.00
Var10795            Pav10795            7.15             7.20
Var10796            Pav10796            5.57             5.60
Var10797            Pav10797            6.07             5.80
Var10798            Pav10798            6.79             7.00
Var108              Pav108              5.00             5.00
Var10800            Pav10800            6.31             6.60
Var10802            Pav10802            7.75             7.80
Var10805            Pav10805            7.04             7.20
Var10806            Pav10806            7.72             7.40
Var1081             Pav1081             6.41             6.60
Var10812            Pav10812            5.48             5.40
Var10813            Pav10813            8.05             8.00
Var10814            Pav10814            8.64             9.20
Var10817            Pav10817            7.89             7.60
Var10818            Pav10818            7.57             7.20
Var10819            Pav10819            5.47             5.20
Var10820            Pav10820            6.72             6.00
Var10821            Pav10821            8.29             8.00
Var10822            Pav10822            5.93             5.80
Var10825            Pav10825            5.03             5.00
Var10827            Pav10827            6.55             6.60
Var10829            Pav10829            7.31             7.20
Var10834            Pav10834            6.65             7.00
Var10836            Pav10836            5.79             5.60
Var10837            Pav10837            6.20             6.60
Var10838            Pav10838            5.27             5.00
Var10839            Pav10839            7.56             7.40
Var1084             Pav1084             7.01             7.20
Var10840            Pav10840            5.73             5.20
Var10843            Pav10843            7.45             7.80
Var10844            Pav10844            8.11             8.00
Var10846            Pav10846            6.75             7.20
Var10847            Pav10847            7.56             7.40
Var10849            Pav10849            6.16             6.40
Var10853            Pav10853            5.79             5.60
Var10854            Pav10854            6.61             6.40
Var10856            Pav10856            7.43             7.00
Var10857            Pav10857            5.13             4.60
Var10858            Pav10858            5.05             5.00
Var10860            Pav10860            6.08             6.00
Var10861            Pav10861            5.96             5.80
Var10863            Pav10863            6.68             7.00
Var10864            Pav10864            7.21             7.80
Var10866            Pav10866            8.37             8.80
Var10869            Pav10869            7.15             7.20
Var10871            Pav10871            7.64             7.80
Var10874            Pav10874            5.84             6.00
Var10875            Pav10875            6.47             6.60
Var10878            Pav10878            8.15             9.00
Var10879            Pav10879            8.59             8.80
Var1088             Pav1088             5.72             5.80
Var10880            Pav10880            5.84             6.00
Var10884            Pav10884            7.83             8.20
Var10887            Pav10887            6.25             5.80
Var10888            Pav10888            8.35             8.80
Var10889            Pav10889            8.08             8.00
Var1089             Pav1089             5.71             5.60
Var10890            Pav10890            8.51             8.40
Var10891            Pav10891            6.59             6.00
Var10892            Pav10892            7.64             7.80
Var10893            Pav10893            5.69             6.20
Var10896            Pav10896            7.48             7.40
Var109              Pav109              7.80             7.40
Var1090             Pav1090             5.59             5.80
Var10900            Pav10900            8.35             8.00
Var10901            Pav10901            8.01             8.20
Var10903            Pav10903            6.15             6.20
Var10906            Pav10906            7.93             8.20
Var10910            Pav10910            5.65             5.60
Var10911            Pav10911            5.35             5.40
Var10914            Pav10914            7.88             7.80
Var10916            Pav10916            5.89             6.00
Var10917            Pav10917            5.08             4.60
Var1092             Pav1092             5.00             4.60
Var10920            Pav10920            5.39             5.60
Var10921            Pav10921            6.80             6.80
Var10923            Pav10923            6.17             6.20
Var10924            Pav10924            6.41             6.20
Var10927            Pav10927            7.51             7.40
Var10928            Pav10928            8.21             8.00
Var10932            Pav10932            5.11             5.00
Var10934            Pav10934            7.56             7.40
Var10935            Pav10935            7.43             7.00
Var10938            Pav10938            5.21             5.40
Var10939            Pav10939            5.29             5.00
Var1094             Pav1094             7.48             7.40
Var10941            Pav10941            5.79             6.00
Var10944            Pav10944            7.17             6.80
Var10946            Pav10946            8.69             8.80
Var1095             Pav1095             8.19             8.40
Var10950            Pav10950            7.56             7.40
Var10951            Pav10951            5.95             6.40
Var10952            Pav10952            7.91             7.80
Var10954            Pav10954            6.40             6.80
Var10956            Pav10956            7.27             7.00
Var10957            Pav10957            7.61             7.80
Var10959            Pav10959            7.69             7.80
Var1096             Pav1096             5.57             5.60
Var10960            Pav10960            6.89             7.00
Var10961            Pav10961            6.29             6.40
Var10963            Pav10963            5.73             6.00
Var10965            Pav10965            6.84             7.00
Var10966            Pav10966            7.83             7.80
Var10967            Pav10967            7.20             7.20
Var10968            Pav10968            5.95             6.40
Var10969            Pav10969            5.24             5.40
Var10970            Pav10970            7.97             8.00
Var10971            Pav10971            7.21             7.00
Var10972            Pav10972            8.00             8.40
Var10973            Pav10973            5.51             5.80
Var10974            Pav10974            5.55             5.20
Var10975            Pav10975            8.07             8.60
Var10976            Pav10976            5.71             6.00
Var10977            Pav10977            7.28             7.20
Var10978            Pav10978            7.87             7.60
Var10979            Pav10979            8.64             9.20
Var1098             Pav1098             5.71             5.60
Var10980            Pav10980            6.76             6.60
Var10983            Pav10983            7.60             7.20
Var10984            Pav10984            7.85             7.80
Var10987            Pav10987            5.03             5.40
Var1099             Pav1099             5.99             5.80
Var10990            Pav10990            5.29             5.40
Var10992            Pav10992            7.04             7.20
Var10993            Pav10993            5.76             5.20
Var10995            Pav10995            7.88             8.60
Var10996            Pav10996            5.16             5.00
Var10997            Pav10997            7.45             7.80
Var10998            Pav10998            8.27             8.40
Var10999            Pav10999            7.32             7.40
Var11               Pav11               5.71             5.60
Var1100             Pav1100             5.25             5.20
Var11000            Pav11000            5.29             5.80
Var11001            Pav11001            7.52             7.60
Var11002            Pav11002            7.40             7.40
Var11005            Pav11005            7.27             7.00
Var11006            Pav11006            6.72             6.80
Var11008            Pav11008            6.49             6.20
Var11009            Pav11009            6.67             6.80
Var1101             Pav1101             6.47             6.20
Var11012            Pav11012            7.09             6.80
Var11014            Pav11014            7.84             7.60
Var11015            Pav11015            6.19             6.80
Var11017            Pav11017            8.03             8.00
Var11019            Pav11019            6.67             6.80
Var11020            Pav11020            5.43             5.40
Var11021            Pav11021            8.40             8.40
Var11023            Pav11023            6.47             7.00
Var11025            Pav11025            7.43             7.80
Var11026            Pav11026            5.25             5.20
Var11027            Pav11027            5.88             5.40
Var11028            Pav11028            8.03             8.00
Var11029            Pav11029            5.37             5.40
Var1103             Pav1103             7.17             7.20
Var11030            Pav11030            5.87             5.60
Var11032            Pav11032            7.96             8.20
Var11034            Pav11034            6.93             6.80
Var11035            Pav11035            6.47             6.20
Var11036            Pav11036            6.77             6.80
Var11037            Pav11037            7.53             7.80
Var11038            Pav11038            6.81             7.00
Var11040            Pav11040            7.03             7.40
Var11042            Pav11042            5.32             5.80
Var11043            Pav11043            7.12             7.20
Var11044            Pav11044            8.40             8.40
Var11045            Pav11045            5.48             5.80
Var11046            Pav11046            6.25             6.20
Var11050            Pav11050            5.19             5.40
Var11052            Pav11052            7.85             8.20
Var11053            Pav11053            5.17             5.60
Var11055            Pav11055            5.37             5.40
Var11056            Pav11056            8.08             8.00
Var11057            Pav11057            7.07             7.20
Var11058            Pav11058            8.61             9.20
Var1106             Pav1106             8.51             8.80
Var11060            Pav11060            5.25             5.20
Var11065            Pav11065            6.24             6.40
Var11066            Pav11066            6.99             7.20
Var11067            Pav11067            5.72             5.80
Var11068            Pav11068            8.04             8.60
Var11070            Pav11070            7.93             7.80
Var11071            Pav11071            5.81             5.60
Var11073            Pav11073            5.87             6.00
Var11078            Pav11078            7.01             7.60
Var11079            Pav11079            8.35             8.40
Var1108             Pav1108             6.16             6.40
Var11080            Pav11080            8.21             8.00
Var11081            Pav11081            5.28             5.20
Var11083            Pav11083            7.91             8.20
Var11086            Pav11086            8.21             8.40
Var11087            Pav11087            8.48             8.40
Var11088            Pav11088            5.92             6.00
Var11089            Pav11089            6.39             6.20
Var1109             Pav1109             5.65             5.20
Var11090            Pav11090            6.17             6.20
Var11091            Pav11091            7.31             7.60
Var11092            Pav11092            7.67             7.80
Var11093            Pav11093            6.19             6.40
Var11095            Pav11095            5.84             5.60
Var11096            Pav11096            5.69             5.80
Var11098            Pav11098            5.79             5.60
Var111              Pav111              6.39             6.20
Var1110             Pav1110             8.24             8.40
Var11100            Pav11100            5.79             5.60
Var11101            Pav11101            7.72             7.80
Var11102            Pav11102            5.51             5.40
Var11107            Pav11107            6.73             7.00
Var11109            Pav11109            6.53             6.40
Var11110            Pav11110            6.64             6.00
Var11111            Pav11111            7.01             7.60
Var11112            Pav11112            7.33             7.60
Var11113            Pav11113            7.03             7.40
Var11114            Pav11114            7.56             7.40
Var11117            Pav11117            5.49             5.20
Var11118            Pav11118            6.23             5.80
Var11119            Pav11119            8.37             8.40
Var1112             Pav1112             6.85             6.80
